HeLa mRNA decay rates			
Gene	Rate	Error	Level
ADPGK	0.0024	0.16	1149
ADPRHL2	0.0055	0.21	2109.9
ADRBK1	-0.0034	0.49	157.2
ADRBK2	-0.0022	0.23	113.1
ADRM1	0.0018	0.02	5530.1
ADSL	-0.0013	0.09	6555.7
ADSSL1	-0.0028	0.33	278.8
AES	-0.0006	0.07	821.9
AF205589.2	-0.0012	0.03	990
AF347015.2	-0.0024	0.49	29508.5
AFAP1L1	0.0003	0.09	505.7
AFF1	0.0002	0.48	846.6
AFF4	0.0013	0.33	305.9
AFG3L1	0.004	0.49	245
AFG3L2	-0.0011	0.16	3156.5
AFTPH	0.0024	0.09	1265.4
AGA	-0.002	0.05	878.3
AGAP1	0.0019	0.19	254.6
AGAP3	-0.0017	0.15	229.6
AGBL5	-0.0002	0.11	572.6
AGFG1	0.0004	0.06	521.2
AGGF1	0.0001	0.3	1095.5
AGK	-0.0013	0.24	344.5
AGL	-0.0027	0.36	1941.8
AGMAT	-0.0032	0.05	1449.9
AGPAT1	-0.0016	0.44	766.8
AGPAT2	-0.0004	0.26	1147.4
AGPAT3	0.0008	0.24	298.1
AGPAT5	-0.0041	0.18	954.2
AGPAT6	0.0028	0.12	699.9
AGPS	-0.0024	0.06	2592.9
AGRN	-0.0011	0.4	404.4
AGTPBP1	-0.0022	0.36	344.8
AGTRAP	0.0009	0.09	1089.1
AGXT2L1	0.002	0.19	467.5
AGXT2L2	-0.002	0.5	134.8
AHCTF1	0.0028	0.08	866.6
AHCY	-0.0012	0.03	5102.4
AHCYL1	-0.0016	0.05	3532.6
AHI1	0.0018	0.12	255.4
AHNAK	0.001	0.19	975.7
AHNAK2	-0.0025	0.18	1031.2
AHR	0.004	0.38	815.4
AHSA1	-0.0003	0.04	8607.9
AHSA2	-0.0003	0.3	508.9
AIDA	-0.0034	0.2	3248.6
AIF1L	-0.0019	0.11	384.3
AIFM1	-0.0013	0.11	519.8
AIFM2	0.0005	0.13	1174.9
AIG1	-0.0041	0.36	355
AIM1	-0.0002	0.1	1168.4
AIMP1	-0.0017	0.03	3007
AIMP2	0.0009	0.14	8795.7
AIP	-0.0017	0.09	1620.9
AK1	-0.0013	0.07	2178.3
AK2	-0.0013	0.06	3482.6
AK3	-0.003	0.25	2346.2
AK3L1	-0.0001	0.02	1051.7
AKAP1	0.001	0.05	1170.2
AKAP10	0.0049	0.21	355.5
AKAP11	-0.0007	0.18	1114.2
AKAP12	0.0001	0.41	1576.9
AKAP13	0.0043	0.32	450.4
AKAP8	0.0031	0.13	750.1
AKAP8L	0	0.24	171.9
AKAP9	0.0022	0.16	224.3
AKIRIN1	0.0026	0.06	1084.7
AKIRIN2	0.0111	0.16	600.6
AKR1A1	-0.0013	0.08	3390.2
AKR1B1	-0.0008	0.02	9758.3
AKR1C3	-0.0011	0.17	13829.4
AKR7A2	-0.0015	0.08	2338.4
AKR7A3	-0.0026	0.28	261.6
AKT1	-0.0008	0.19	990.8
AKT2	0.0004	0.16	286.8
AKTIP	0.0012	0.07	638.1
AL021546.2	-0.002	0.2	1063.6
AL033532.1	0.0009	0.28	228.1
AL110504.3	0.0027	0.41	203.5
AL117209.1	-0.0001	0.29	242.7
AL121900.5	0.0014	0.02	4227.5
AL139819.3	-0.0038	0.2	719.9
AL157893.3	0.0027	0.07	117.3
AL161668.1	-0.0019	0.5	104.7
AL161668.2	0.0008	0.14	202.6
AL161911.2	0.0045	0.35	285.5
AL589182.1	-0.0014	0.26	266.8
ALAD	-0.0023	0.03	309.6
ALAS1	0.0043	0.08	3379.1
ALCAM	-0.0013	0.18	1756.9
ALDH16A1	-0.001	0.22	343.6
ALDH18A1	-0.0014	0.06	4103
ALDH1A3	0.0011	0.23	407.5
ALDH1B1	0.0001	0.44	297.7
ALDH2	-0.0019	0.07	2074.1
ALDH3A1	0.0016	0.28	371.3
ALDH3A2	-0.0026	0.17	2280.4
ALDH3B1	-0.0005	0.09	296.3
ALDH6A1	-0.0011	0.15	657.5
ALDH7A1	-0.0029	0.19	2227.9
ALDOA	-0.0023	0.24	13800.5
ALDOC	-0.0006	0.14	313.9
ALG1	0.0002	0.25	803.5
ALG10	-0.0006	0.28	433.2
ALG13	-0.0021	0.4	598.4
ALG14	-0.0024	0.13	1218.9
ALG2	0.0069	0.14	2264.1
ALG3	-0.0017	0.04	1809.1
ALG5	-0.0004	0.1	4399
ALG6	-0.0018	0.43	1352.2
ALG8	-0.0026	0.03	5467.2
ALKBH1	0.006	0.27	759.9
ALKBH2	0.0045	0.23	962.9
ALKBH3	0.0006	0.07	923.4
ALKBH5	0.002	0.29	1240.7
ALKBH7	-0.0021	0.12	428
ALKBH8	0.0031	0.38	345.6
ALMS1	0.0004	0.13	436.4
ALPK2	0.0012	0.48	144.2
ALS2	0.003	0.05	212.2
ALS2CR4	-0.0026	0.31	1118.4
ALX1	0.01	0.37	368.9
AMBRA1	0.0019	0.18	200.2
AMD1	0.0072	0.09	3836.6
AMDHD1	-0.004	0.29	231.4
AMFR	-0.0012	0.24	362.1
AMMECR1	0.0016	0.26	970.2
AMMECR1L	0.0075	0.15	1868.3
AMOTL1	-0.0004	0.06	883.3
AMPD2	-0.0003	0.24	578.5
AMZ2	-0.0045	0.08	4739.8
ANAPC1	0.0001	0.06	1203.8
ANAPC10P	0.0009	0.21	739.9
ANAPC11	-0.0032	0.23	3974.3
ANAPC13	0.0007	0.07	2357
ANAPC2	0.0005	0.08	1308.5
ANAPC4	0.0004	0.07	2789.6
ANAPC5	-0.0013	0.03	2984.2
ANAPC7	-0.0009	0.02	1769.5
ANGEL1	0	0.06	478.1
ANGEL2	0.0009	0.07	534.3
ANKFY1	0.0004	0.05	742.4
ANKH	-0.0002	0.04	1038.1
ANKHD1	0.0023	0.15	779.8
ANKIB1	0.0001	0.04	768.2
ANKLE1	0.001	0.46	421.7
ANKLE2	0.0013	0.1	1331
ANKMY2	0.0021	0.08	1310
ANKRD10	-0.0007	0.11	591.3
ANKRD11	0.0019	0.1	276.9
ANKRD12	0.0118	0.05	473.8
ANKRD13A	-0.0008	0.04	1305.9
ANKRD13B	0.0031	0.29	540.6
ANKRD13C	0.0013	0.2	360.1
ANKRD13D	0.0053	0.28	137
ANKRD16	0.0038	0.3	145.7
ANKRD17	0.0029	0.12	624.9
ANKRD27	0.0021	0.16	2134.5
ANKRD28	-0.0018	0.08	934.7
ANKRD32	0.0076	0.02	1098.1
ANKRD37	0.0111	0.09	717.4
ANKRD40	0.0022	0.3	608.4
ANKRD49	0.0157	0.11	2319.5
ANKRD5	0.0005	0.11	148.6
ANKRD50	0.0128	0.27	684.9
ANKRD52	-0.0027	0.3	315.5
ANKRD54	0.0034	0.07	546.9
ANKRD57	0.0083	0.04	2677.1
ANKRD9	-0.0031	0.07	1227.8
ANKS6	-0.0006	0.19	113.2
ANKZF1	0.0057	0.26	669.3
ANLN	-0.0028	0.23	4516
ANO10	-0.0032	0.14	527.5
ANO6	-0.0023	0.23	1339.1
ANO8	-0.0046	0.28	130.9
ANP32A	-0.0019	0.04	2030.6
ANP32B	-0.0013	0.09	13513.5
ANP32E	-0.0044	0.03	4837.8
ANTXR1	-0.0002	0.01	3254
ANXA1	-0.0017	0.06	5672.8
ANXA11	-0.0006	0.15	1782.3
ANXA2	-0.0014	0.44	21600.8
ANXA3	-0.0034	0.04	7792.9
ANXA4	-0.0012	0.02	1029.2
ANXA5	-0.0018	0.02	9708.6
ANXA6	-0.0022	0.05	440.7
ANXA7	-0.0006	0.07	4166
AOF1	-0.0018	0.34	387.9
AP000654.2	-0.0016	0.05	4275.7
AP000751.3	0.0046	0.41	139.3
AP001011.3	-0.0007	0.17	1040.9
AP001107.1	0.0004	0.08	1069.9
AP001496.1	0.0013	0.24	979.4
AP002373.1	0.0095	0.07	3565.8
AP002478.2	0.0011	0.38	229.2
AP002478.3	-0.0003	0.16	1118.8
AP002893.2	-0.0042	0.24	288.9
AP003355.2	0.0043	0.1	398.7
AP005668.1	-0.0001	0.14	8760.3
AP006216.1	0.0021	0.11	160.4
AP006289.1	0.0136	0.43	501.8
AP1B1	0.0004	0.11	554.1
AP1G1	0.0013	0.02	754.8
AP1GBP1	0.0049	0.1	279.6
AP1M1	0.0004	0.09	1474.1
AP1M2	0.0003	0.14	1056.3
AP1S2	-0.0015	0.03	1336.4
AP1S3	0.001	0.27	1350
AP2A1	-0.002	0.26	245.4
AP2A2	0.0006	0.18	540.4
AP2B1	-0.0015	0.03	3161.8
AP2S1	-0.0005	0.07	6857.4
AP3B1	-0.0002	0.04	708.1
AP3D1	-0.0003	0.04	1031.3
AP3M1	0.0003	0.07	2111.3
AP3M2	0.0001	0.34	356.6
AP3S2	0.0003	0.09	643.1
AP4B1	0.0037	0.07	497.1
AP4E1	0.0013	0.08	569.5
AP4S1	-0.0005	0.1	270.3
APAF1	-0.0016	0.45	108.2
APBB2	0.0024	0.01	411.8
APC	0.0021	0.28	446.7
APEH	0	0.04	1727.3
APEX1	-0.0008	0.29	9003.8
APEX2	0.0038	0.08	687.4
APH1A	-0.0014	0.1	582
API5L1	-0.0024	0.09	2048.4
APIP	-0.0008	0.26	1688.2
APITD1	-0.0035	0.24	1857.4
APLP1	-0.0035	0.38	224.4
APLP2	-0.0021	0.22	3085
APOA1BP	-0.0005	0.03	5643.9
APOBEC3B	-0.005	0.18	2307.9
APOBEC3C	-0.0003	0.09	989.1
APOLD1	0.0066	0.48	262.8
APOO	-0.0001	0.47	2622.7
APOOL	-0.0026	0.36	832
APP	-0.0043	0.29	578.6
APPBP2	0.0072	0.1	585
APPL1	-0.0022	0.07	836.5
APPL2	-0.0027	0.38	191.3
APRT	0.0007	0.13	1876.3
APTX	-0.0016	0.17	856.4
AQP3	-0.002	0.04	2142.6
AQR	-0.0007	0.1	801.3
ARAF	-0.0038	0.33	738.3
ARAP2	0.0058	0.12	365
ARAP3	-0.0039	0.22	260.5
ARCN1	0.0026	0.17	3013.7
ARF1	0.0016	0.1	5792.2
ARF3	-0.0009	0.32	1193.8
ARF4	-0.0016	0.02	10553.8
ARF6	0.0068	0.09	1107
ARFGAP1	0.0019	0.23	538.9
ARFGAP2	0.0008	0.06	1875.8
ARFGEF1	0.0012	0.04	355.6
ARFGEF2	0.0006	0.1	1215.7
ARFIP1	0.0021	0.11	1014.4
ARFRP1	-0.001	0.11	564
ARG2	-0.0005	0.16	339.1
ARHGAP1	-0.0004	0.08	1281.9
ARHGAP10	-0.0021	0.11	415.5
ARHGAP11A	0.0015	0.3	246.2
ARHGAP17	0.0036	0.28	1597
ARHGAP18	0.002	0.15	407.4
ARHGAP19	0.0023	0.23	280.3
ARHGAP21	0.0029	0.13	1517.8
ARHGAP23	0.002	0.31	402.8
ARHGAP29	0.0041	0.2	361.7
ARHGAP5	-0.0003	0.35	434.1
ARHGDIA	-0.0008	0.05	995.3
ARHGEF1	-0.0042	0.33	180.4
ARHGEF10	0.0015	0.09	491.4
ARHGEF12	-0.0016	0.29	657
ARHGEF18	0.003	0.05	3518.2
ARHGEF19	-0.0007	0.23	281.7
ARHGEF2	0.0036	0.15	390
ARHGEF4	0.0006	0.49	190.6
ARHGEF7	0.0046	0.04	830.8
ARID1A	0.0054	0.2	742.7
ARID1B	-0.0021	0.31	143.2
ARID2	0.0049	0.35	455.3
ARID3A	0.0002	0.3	119.8
ARIH1	0.0013	0.1	731.2
ARIH2	-0.0002	0.04	1365.8
ARL1	-0.0036	0.07	1274.4
ARL10	-0.0011	0.12	231
ARL13B	0.0047	0.41	846.2
ARL15	0	0.22	202.2
ARL16	0.0004	0.09	802.6
ARL2	0.0001	0.29	2294.8
ARL2BP	0.0015	0.34	1111.8
ARL3	-0.0013	0.03	2189.9
ARL4A	0.0126	0.11	2740.7
ARL5A	-0.0016	0.13	852.9
ARL5B	0.0062	0.03	921
ARL6IP1	-0.0006	0.05	14022
ARL6IP4	-0.0012	0.06	2232.7
ARL6IP5	-0.0002	0.02	8223.2
ARL8B	-0.0001	0.03	5018
ARMC1	0.0017	0.43	3419.1
ARMC10	-0.0007	0.03	1440.6
ARMC6	-0.0005	0.22	742.4
ARMC7	0.0087	0.25	456.6
ARMC8	0.0014	0.07	358.4
ARMCX2	-0.0012	0.08	996.3
ARMCX3	-0.0015	0.09	835.4
ARMCX5	-0.0001	0.08	237.6
ARMCX6	0	0.14	4727.9
ARMET	0.0007	0.06	4298.1
ARNT	-0.0008	0.15	327.9
ARNTL	0.005	0.12	1268.9
ARNTL2	-0.0001	0.33	500.7
ARPC1B	-0.0004	0.05	3064.5
ARPC2	-0.003	0.13	10120.8
ARPC3	-0.0024	0.13	4127.7
ARPC4	-0.0013	0.03	2005.8
ARPC5	-0.0011	0.05	3684
ARPC5L	0.0006	0.03	5461.3
ARPP19	0	0.17	2863.1
ARRB1	-0.0013	0.33	171.9
ARRDC1	-0.0011	0.47	710
ARSK	0	0.4	375.8
ARV1	0.0009	0.23	2184.2
ASAH1	-0.0038	0.05	1864.4
ASAP1	0.001	0.13	440.4
ASAP2	-0.0017	0.29	1411.3
ASB3	0.0023	0.2	467.8
ASB6	0.0069	0.31	1265
ASB7	0.0149	0.25	436.6
ASB8	0.0024	0.46	785.9
ASB9	-0.004	0.3	801.1
ASCC1	-0.0001	0.02	2382
ASCC3	-0.0029	0.15	1028
ASF1A	0.0041	0.02	1804.5
ASF1B	0.0003	0.07	2478.9
ASH1L	0.0018	0.23	803.9
ASH2L	0.0009	0.05	1767.5
ASL	0	0.07	702.2
ASMTL	-0.0021	0.19	383.4
ASNA1	-0.0002	0.25	2460.1
ASNS	-0.0007	0.07	2659.4
ASNSD1	-0.0001	0.11	2760.6
ASPH	-0.0041	0.44	1046.6
ASPHD1	-0.0023	0.16	680.6
ASPM	0.0003	0.05	2486.4
ASRGL1	-0.0032	0.08	1267.6
ASS1	-0.0016	0.14	10723.9
ASXL1	0.0032	0.03	1476.7
ASXL2	0.0026	0.23	607.6
ATAD1	-0.0024	0.05	910.4
ATAD2	-0.0028	0.49	1860.7
ATAD3A	-0.0003	0.42	606.6
ATAD3B	-0.0019	0.29	667.7
ATAD5	0.0044	0.25	401.7
ATBF1	0.0028	0.22	212.5
ATE1	-0.0022	0.45	389.4
ATF1	0.0001	0.27	2671.2
ATF3	0.0103	0.21	550.9
ATF5	0.0009	0.11	134
ATF6	-0.0015	0.12	593.1
ATF7	-0.0018	0.17	695.7
ATF7IP	0.0044	0.2	1078.3
ATG10	-0.0001	0.14	306.6
ATG12	-0.001	0.04	1742.4
ATG16L1	0.0043	0.22	161.2
ATG2A	0.0001	0.32	532.7
ATG2B	-0.0008	0.12	275.5
ATG3	-0.0022	0.06	3419.3
ATG4A	0.0028	0.3	1227.3
ATG4B	0.0001	0.28	424.3
ATG5	0.0008	0.06	1196.7
ATG7	-0.0009	0.21	643.8
ATG9A	-0.0022	0.25	787.4
ATIC	-0.0007	0.18	8441.4
ATL2	0.0032	0.18	826.5
ATL3	0.0008	0.12	2377.1
ATM	0.0002	0.2	399.7
ATMIN	0.0011	0.05	1398.5
ATOX1	-0.0016	0.27	3042.6
ATP10D	-0.0002	0.26	1216.4
ATP11B	-0.0014	0.13	179.5
ATP11C	-0.0014	0.38	419.8
ATP13A1	-0.0012	0.09	2182.9
ATP13A2	0.001	0.39	216.9
ATP1A1	-0.0022	0.03	5434.7
ATP1B1	-0.0009	0.02	5897.8
ATP1B3	-0.0011	0.17	7475.4
ATP2A2	0.001	0.13	2497.3
ATP2B1	-0.0014	0.34	1086
ATP2B4	-0.0012	0.09	705
ATP2C1	-0.0051	0.18	576
ATP5A1	-0.002	0.06	18160.9
ATP5B	-0.0018	0.08	14056.9
ATP5C1	-0.0011	0.2	14193.5
ATP5D	-0.0008	0.16	1343
ATP5E	-0.004	0.07	8779.1
ATP5F1	-0.0005	0.22	10376.9
ATP5G1	0.0005	0.08	7161.4
ATP5G2	-0.0015	0.15	7078.3
ATP5G3	-0.0006	0.04	12096.2
ATP5H	-0.0016	0.19	8319.4
ATP5I	-0.0031	0.16	12055.4
ATP5J	-0.003	0.06	10696.8
ATP5L	-0.0019	0.07	12007.6
ATP5O	-0.0021	0.19	4413.6
ATP5S	-0.0031	0.2	378.5
ATP5SL	-0.0001	0.04	881.1
ATP6AP1	-0.0012	0.03	5497.5
ATP6AP2	-0.0019	0.05	8246.1
ATP6V0A1	-0.0009	0.18	543.9
ATP6V0A2	0.0032	0.17	468.7
ATP6V0B	-0.0009	0.08	6864.2
ATP6V0C	-0.0003	0.04	4550.6
ATP6V0D1	-0.0012	0.08	1487.6
ATP6V0E1	-0.001	0.15	6723.8
ATP6V0E2	-0.0004	0.27	605
ATP6V1A	-0.0013	0.08	4373.9
ATP6V1B2	0.0029	0.11	2143.9
ATP6V1C1	-0.0003	0.08	1406.6
ATP6V1D	0.0001	0.01	4320.2
ATP6V1E1	0.0011	0.05	4681.4
ATP6V1F	0.0001	0.18	6421.3
ATP6V1G1	-0.0007	0.06	3482
ATP6V1H	0.004	0.38	390
ATP7A	-0.0008	0.34	507.8
ATP8B2	0.0039	0.2	475.6
ATP8B3	-0.0037	0.32	114.3
ATP9A	-0.0016	0.34	874.8
ATPAF1	-0.0036	0.12	1558.9
ATPAF2	-0.0001	0.21	302.9
ATPBD4	-0.0025	0.2	275.9
ATPIF1	-0.0034	0.05	4237.8
ATR	-0.0006	0.07	830.7
ATRN	-0.0013	0.21	272.4
ATRX	-0.0003	0.11	937.2
ATXN10	0.0021	0.09	1943.2
ATXN1L	0.0046	0.16	1011.9
ATXN2	0.0012	0.43	269.2
ATXN3	-0.0016	0.13	333.6
ATXN7	0.0042	0.4	269.9
AUH	-0.0015	0.06	251.4
AURKA	0.006	0.21	6066.1
AURKAIP1	-0.0018	0.08	5944.1
AURKB	0.0005	0.12	1478.6
AVEN	0.0004	0.12	542.4
AVL9	0.0058	0.32	283.8
AXL	-0.0039	0.25	3071.5
AZI2	-0.0031	0.13	523.5
AZIN1	0.0034	0.12	1952.3
B2M	-0.0017	0.22	23675
B3GALNT1	-0.0036	0.14	200.8
B3GALT6	0.0041	0.07	895
B3GALTL	-0.0015	0.12	238.9
B3GAT3	0.0015	0.42	168.2
B3GNT1	0.0114	0.23	437.7
B4GALNT1	-0.0025	0.24	188.4
B4GALT1	0.0009	0.24	215.5
B4GALT3	0.0061	0.19	505.7
B4GALT4	-0.0011	0.16	645
B4GALT5	0.0076	0.07	1828.4
B4GALT7	-0.0005	0.12	287.5
B9D1	-0.0015	0.08	418.1
BACE1	-0.0019	0.17	242
BACE2	-0.0018	0.15	646.2
BAD	0.0004	0.14	961.1
BAG1	0	0.07	3190.5
BAG2	0.0023	0.07	5318.7
BAG3	-0.0003	0.14	3063.8
BAG4	0.0046	0.37	734.4
BAG5	0.0074	0.15	1585.1
BAHD1	0.0024	0.39	242.1
BAIAP2	0.0022	0.28	217
BAIAP2L1	-0.0013	0.09	387.3
BANF1	-0.0013	0.12	11029.8
BANP	0.0109	0.18	1028.5
BAP1	-0.001	0.13	944.8
BARD1	0.0114	0.12	795.5
BAT2	0.0017	0.19	702.9
BAT2D1	-0.0011	0.07	1908.6
BAT2L	-0.0008	0.25	973.9
BAT3	-0.0015	0.28	3129.9
BAT4	0.0108	0.11	1777.2
BAX	0.001	0.22	895.8
